SFrame Completed
+--------------------------+------+-------------------------------+
|          image           | name |          annotations          |
+--------------------------+------+-------------------------------+
|  Height: 640 Width: 480  | 104  | [{'label': 'text', 'coordi... |
| Height: 2592 Width: 3888 | 196  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 161  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 151  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 100  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 290  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 260  | [{'label': 'text', 'coordi... |
|  Height: 480 Width: 640  | 291  | [{'label': 'text', 'coordi... |
| Height: 960 Width: 1280  | 112  | [{'label': 'text', 'coordi... |
|  Height: 640 Width: 480  | 211  | [{'label': 'text', 'coordi... |
+--------------------------+------+-------------------------------+
[200 rows x 3 columns]
Note: Only the head of the SFrame is printed.
You can use print_rows(num_rows=m, num_columns=n) to print more rows and columns.
Setting 'batch_size' to 128
Using GPUs to create model (GeForce GTX 1080 Ti, GeForce GTX 1080 Ti, GeForce GTX 1080 Ti, GeForce GTX 1080 Ti)
Setting 'max_iterations' to 1000
+--------------+--------------+--------------+
| Iteration    | Loss         | Elapsed Time |
+--------------+--------------+--------------+
| 286          | 2.103        | 2811.4       |
| 288          | 2.111        | 2830.9       |
| 290          | 2.110        | 2849.8       |
| 291          | 2.103        | 2860.5       |
| 293          | 2.087        | 2878.3       |
| 294          | 2.091        | 2890.7       |
| 296          | 2.081        | 2909.9       |
| 298          | 2.074        | 2928.4       |
| 299          | 2.057        | 2938.4       |
| 301          | 2.044        | 2958.7       |
| 303          | 2.064        | 2978.1       |
| 305          | 2.058        | 2999.5       |
| 307          | 2.052        | 3018.0       |
| 309          | 2.032        | 3037.0       |
| 311          | 2.021        | 3056.0       |
| 313          | 2.021        | 3076.3       |
| 315          | 2.003        | 3095.2       |
| 317          | 2.031        | 3114.9       |
| 319          | 2.016        | 3134.4       |
| 320          | 2.019        | 3145.1       |
| 322          | 2.017        | 3164.5       |
| 323          | 2.013        | 3174.8       |
| 325          | 2.003        | 3193.6       |
| 327          | 1.996        | 3212.3       |
| 328          | 1.984        | 3223.4       |
| 329          | 1.981        | 3233.7       |
| 331          | 1.985        | 3251.8       |
| 333          | 1.997        | 3270.9       |
| 334          | 2.000        | 3281.8       |
| 336          | 1.981        | 3301.5       |
| 338          | 1.968        | 3321.4       |
| 340          | 1.994        | 3340.4       |
| 341          | 1.992        | 3351.0       |
| 343          | 1.986        | 3370.7       |
| 345          | 1.975        | 3390.9       |
| 347          | 1.979        | 3409.7       |
| 348          | 1.972        | 3420.2       |
| 350          | 1.979        | 3439.3       |
| 351          | 1.993        | 3450.0       |
| 352          | 1.984        | 3460.7       |
| 354          | 1.977        | 3478.4       |
| 355          | 1.952        | 3488.4       |
| 356          | 1.970        | 3498.7       |
| 358          | 1.967        | 3517.9       |
| 360          | 1.969        | 3537.7       |
| 362          | 1.981        | 3557.2       |
| 363          | 1.982        | 3567.5       |
| 365          | 1.960        | 3586.1       |
| 367          | 1.934        | 3605.2       |
| 368          | 1.930        | 3615.4       |
| 370          | 1.942        | 3634.4       |
| 371          | 1.929        | 3645.5       |
| 373          | 1.930        | 3664.3       |
| 375          | 1.919        | 3682.9       |
| 376          | 1.920        | 3693.2       |
| 378          | 1.913        | 3711.9       |
| 379          | 1.907        | 3721.9       |
| 381          | 1.908        | 3741.0       |
| 382          | 1.898        | 3751.9       |
| 384          | 1.903        | 3772.0       |
| 386          | 1.886        | 3789.7       |
| 388          | 1.889        | 3809.1       |
| 389          | 1.898        | 3819.6       |
| 391          | 1.893        | 3838.7       |
| 392          | 1.897        | 3848.8       |
| 393          | 1.889        | 3859.3       |
| 395          | 1.868        | 3876.9       |
| 396          | 1.850        | 3887.5       |
| 398          | 1.854        | 3907.0       |
| 400          | 1.852        | 3925.9       |
| 401          | 1.852        | 3936.1       |
| 403          | 1.856        | 3955.8       |
| 405          | 1.863        | 3974.6       |
| 407          | 1.888        | 3994.0       |
| 409          | 1.863        | 4012.5       |
| 410          | 1.863        | 4022.6       |
| 411          | 1.861        | 4032.8       |
| 412          | 1.851        | 4044.1       |
| 414          | 1.865        | 4062.8       |
| 415          | 1.850        | 4072.9       |
| 416          | 1.838        | 4083.4       |
| 418          | 1.851        | 4101.0       |
| 420          | 1.841        | 4120.4       |
| 421          | 1.841        | 4131.9       |
| 423          | 1.842        | 4149.2       |
| 424          | 1.835        | 4161.1       |
| 426          | 1.829        | 4179.7       |
| 427          | 1.824        | 4190.2       |
| 429          | 1.832        | 4209.3       |
| 430          | 1.829        | 4221.1       |
| 432          | 1.830        | 4239.1       |
| 434          | 1.827        | 4258.7       |
| 436          | 1.816        | 4278.8       |
| 438          | 1.822        | 4296.1       |
| 439          | 1.812        | 4307.4       |
| 440          | 1.821        | 4318.4       |
| 442          | 1.834        | 4336.9       |
| 444          | 1.826        | 4356.5       |
| 446          | 1.808        | 4374.4       |
| 447          | 1.814        | 4386.1       |
| 448          | 1.810        | 4396.8       |
| 450          | 1.817        | 4415.4       |
| 452          | 1.808        | 4434.5       |
| 453          | 1.805        | 4444.6       |
| 455          | 1.795        | 4463.0       |
| 456          | 1.778        | 4474.2       |
| 458          | 1.770        | 4493.1       |
| 459          | 1.779        | 4503.3       |
| 461          | 1.774        | 4523.0       |
| 463          | 1.761        | 4542.4       |
| 465          | 1.763        | 4561.6       |
| 467          | 1.756        | 4581.7       |
| 468          | 1.765        | 4592.1       |
| 470          | 1.804        | 4612.1       |
| 471          | 1.804        | 4622.4       |
| 473          | 1.791        | 4639.5       |
| 474          | 1.796        | 4651.5       |
| 476          | 1.786        | 4669.1       |
| 478          | 1.776        | 4689.4       |
| 479          | 1.783        | 4700.6       |
| 481          | 1.779        | 4718.8       |
| 483          | 1.784        | 4738.6       |
| 484          | 1.793        | 4748.7       |
| 486          | 1.785        | 4768.1       |
| 487          | 1.785        | 4778.1       |
| 489          | 1.777        | 4797.8       |
| 491          | 1.769        | 4817.9       |
| 493          | 1.768        | 4837.6       |
| 495          | 1.759        | 4856.7       |
| 497          | 1.753        | 4876.9       |
| 499          | 1.732        | 4896.1       |
| 500          | 1.722        | 4906.6       |
| 502          | 1.726        | 4926.0       |
| 504          | 1.721        | 4947.5       |
| 506          | 1.735        | 4966.0       |
| 507          | 1.740        | 4976.9       |
| 509          | 1.736        | 4996.0       |
| 510          | 1.752        | 5007.1       |
| 512          | 1.742        | 5024.7       |
| 514          | 1.763        | 5045.1       |
| 516          | 1.777        | 5064.4       |
| 518          | 1.765        | 5082.8       |
| 519          | 1.749        | 5095.1       |
| 521          | 1.760        | 5111.6       |
| 522          | 1.755        | 5124.0       |
| 524          | 1.736        | 5143.5       |
| 526          | 1.728        | 5162.3       |
| 528          | 1.713        | 5181.1       |
| 529          | 1.722        | 5191.9       |
| 531          | 1.713        | 5210.8       |
| 533          | 1.685        | 5230.8       |
| 535          | 1.686        | 5251.2       |
| 537          | 1.706        | 5269.6       |
| 538          | 1.696        | 5280.6       |
| 540          | 1.690        | 5300.3       |
| 541          | 1.708        | 5310.9       |
| 543          | 1.686        | 5329.6       |
| 545          | 1.684        | 5349.4       |
| 547          | 1.693        | 5368.6       |
| 549          | 1.701        | 5389.0       |
| 551          | 1.680        | 5407.6       |
| 553          | 1.666        | 5427.5       |
| 555          | 1.666        | 5448.5       |
| 557          | 1.670        | 5468.0       |
| 558          | 1.693        | 5478.5       |
| 560          | 1.665        | 5497.6       |
| 561          | 1.677        | 5507.9       |
| 563          | 1.654        | 5528.0       |
| 565          | 1.631        | 5546.4       |
| 566          | 1.641        | 5557.3       |
| 568          | 1.630        | 5576.2       |
| 570          | 1.623        | 5596.3       |
| 572          | 1.608        | 5616.1       |
| 574          | 1.638        | 5635.0       |
| 576          | 1.656        | 5654.6       |
| 578          | 1.639        | 5673.0       |
| 579          | 1.650        | 5683.8       |
| 581          | 1.646        | 5702.9       |
| 583          | 1.649        | 5722.8       |
| 585          | 1.625        | 5741.3       |
| 586          | 1.642        | 5751.8       |
| 588          | 1.621        | 5769.9       |
| 589          | 1.633        | 5780.2       |
| 591          | 1.623        | 5800.3       |
| 593          | 1.623        | 5819.9       |
| 595          | 1.631        | 5839.1       |
| 597          | 1.633        | 5858.4       |
| 599          | 1.616        | 5878.5       |
| 601          | 1.600        | 5897.4       |
| 602          | 1.608        | 5908.0       |
| 604          | 1.612        | 5929.3       |
| 606          | 1.625        | 5946.9       |
| 608          | 1.614        | 5966.0       |
| 610          | 1.597        | 5984.2       |
| 611          | 1.618        | 5995.2       |
| 612          | 1.614        | 6005.5       |
| 614          | 1.618        | 6024.5       |
| 616          | 1.611        | 6045.2       |
| 617          | 1.619        | 6055.5       |
| 619          | 1.605        | 6073.4       |
| 620          | 1.602        | 6083.5       |
| 621          | 1.598        | 6095.0       |
| 623          | 1.612        | 6113.7       |
| 624          | 1.623        | 6123.9       |
| 626          | 1.621        | 6143.0       |
| 627          | 1.625        | 6155.0       |
| 629          | 1.615        | 6173.8       |
| 631          | 1.618        | 6193.6       |
| 633          | 1.608        | 6212.4       |
| 635          | 1.616        | 6231.5       |
| 637          | 1.599        | 6250.6       |
| 638          | 1.593        | 6263.0       |
| 640          | 1.583        | 6280.7       |
| 642          | 1.591        | 6300.1       |
| 644          | 1.603        | 6319.9       |
| 646          | 1.594        | 6340.7       |
| 648          | 1.618        | 6360.5       |
| 649          | 1.639        | 6371.0       |
| 651          | 1.644        | 6388.6       |
| 653          | 1.620        | 6408.2       |
| 655          | 1.593        | 6427.0       |
| 656          | 1.599        | 6437.4       |
| 657          | 1.594        | 6447.5       |
| 659          | 1.595        | 6465.9       |
| 661          | 1.600        | 6486.9       |
| 663          | 1.608        | 6507.0       |
| 665          | 1.597        | 6525.3       |
| 666          | 1.609        | 6535.8       |
| 668          | 1.600        | 6555.7       |
| 670          | 1.581        | 6573.9       |
| 671          | 1.586        | 6583.9       |
| 672          | 1.583        | 6594.7       |
